Entendido. A continuación, presento la tabla con los hallazgos del reporte, utilizando **exactamente la misma redacción** en inglés del documento original para las descripciones, impactos y recomendaciones, respetando la estructura solicitada de 4 columnas con encabezados en español.
### **Resumen de Hallazgos de Penetration Testing**
| Nombre de Issue | Descripción | Impacto | Recomendación |
| **PLATFORM INFORMATION DISCLOSURE (CMS)** | Unnecessary information including functional system information (that are not intended for users to view) is included within files that are held on the end user machine. The web application exposes platform and technology details through HTTP response headers. | Information such as system information may be used by an attacker to launch an attack to gain further insight or access into the application. | Suppress unnecessary response headers that disclose technology information. Remove all superfluous information from client-side files, specifically: Code or descriptions of code in comments, explanations of logic, and system information. |
| **USER ENUMERATION (DOM-Forgot Password)** | The system advises whether a username or password is incorrect. This gives an attacker the ability to determine whether a username is valid or not. Through developer tools it is possible to see the message: "No users found with ID noUser". | Populating a list of valid usernames gives an attacker an increased probability of obtaining unauthorized access. It could also be used to launch an attack that locks out all users (known as a Denial-of-Service attack). | Amend the message given to the user when the “Forgot Password” is being used. This should not advise which of the users are valid. |
| **PLATFORM INFORMATION DISCLOSURE (DOM)** | The web application exposes platform and technology details through HTTP response headers when certain requests are made – particularly for unauthenticated requests or when the user provokes any error. | Information such as system information may be used by an attacker to launch an attack to gain further insight or access into the application. | Suppress unnecessary response headers that disclose technology information. Remove all superfluous information from client-side files, specifically: Code or descriptions of code in comments, explanations of logic, change history, and system information. |
| **DISCLOSURE OF EMAIL (DOM)** | The web application may expose more data than what the client legitimately needs, such as email users, relying only on the client to do the filtering. There is the section businessUnitDTO which contains the email of alana.santos@hsbc.com. | Restricted data could be viewed, copied, or recorded by a malicious user and used to build information used to launch an attack. | Undertake a review of the data fields that can be displayed and which of those really need to be viewed in full. Ensure any data that is business sensitive and not required in full, is masked. Never rely on the client to filter data. |
| **CONTENT-SECURITY-POLICY HEADER NOT SET (DOM)** | Content-Security-Policy Header found Not Set by application. It was identified that the header Content-Security-Policy is missing in the response of the web application. | Server response may be altered by man-in-the-middle attack. | Set Content-Security-Policy Header. |
| **IMPROPER CACHE CONTROL HEADER IS USED (DOM)** | The settings used to secure cache control headers are incorrectly configured. The Cache control header does not contain the directives Pragma: no-cache Cache-Control: no-store, no-cache, must-revalidate. | This can result in sensitive information being stored locally on the computer. An attacker can use the information stored in these to gain an insight into the workings of the application or to obtain sensitive information. | The mechanism must be configured correctly, as follows: Pragma: no-cache Cache-Control: no-store, no-cache, must-revalidate. |
| **MISCONFIGURED CORS POLICY HEADER (DOM)** | The Cross-origin resource sharing (CORS) header is not properly set. The web application is configured to allow cross-origin requests from any origin (Access-Control-Allow-Origin: *). | This configuration may expose the application to Cross-Origin attacks, such as unauthorized API interactions from malicious websites. Attackers may perform unauthorized state-changing actions and / or steal user tokens. | For all web application requests (in a globally way) set the Access-Control-Allow-Origin properly to only accept request from the authorized domains. Avoid using Access-Control-Allow-Origin: *. |
| **USER ENUMERATION (CORE)** | The system advises whether a username or password is incorrect. This gives an attacker the ability to determine whether a username is valid or not. Through developer tools it is possible to see the message: "No users found with ID noUser". | Populating a list of valid usernames gives an attacker an increased probability of obtaining unauthorised access. It could also be used to launch an attack that locks out all users (known as a Denial-of-Service attack). | Amend the message given to the user when their authentication credentials are incorrect. This should not advise which of the credentials are incorrect. |
| **PLATFORM INFORMATION DISCLOSURE (CORE)** | The web application exposes platform and technology details through HTTP response headers when certain requests are made – particularly for unauthenticated requests or when the user provokes any error. | Information such as system information may be used by an attacker to launch an attack to gain further insight or access into the application. | Suppress unnecessary response headers that disclose technology information. Remove all superfluous information from client-side files, specifically: Code or descriptions of code in comments, explanations of logic, and system information. |
| **MISCONFIGURED CORS POLICY HEADER (CORE)** | The Cross-origin resource sharing (CORS) header is not properly set. The web application is configured to allow cross-origin requests from any origin (Access-Control-Allow-Origin: *). | This configuration may expose the application to Cross-Origin attacks, such as unauthorized API interactions from malicious websites. Attackers may perform unauthorized state-changing actions and / or steal user tokens. | For all web application requests (in a globally way) set the Access-Control-Allow-Origin properly to only accept request from the authorized domains. Avoid using Access-Control-Allow-Origin: *. |
| **IMPROPER CACHE CONTROL HEADER IS USED (CORE)** | The settings used to secure cache control headers are incorrectly configured. The Cache control header does not contain the directives Pragma: no-cache Cache-Control: no-store, no-cache, must-revalidate. | This can result in sensitive information being stored locally on the computer. An attacker can use the information stored in these to gain an insight into the workings of the application or to obtain sensitive information. | The mechanism must be configured correctly, as follows: Pragma: no-cache Cache-Control: no-store, no-cache, must-revalidate in whole application. |
| **OPEN SOURCE WITH KNOWN VULNERABILITY (CORE)** | It was identified that the web server uses a vulnerable JavaScript library jquery version 3.1.1. This version is affected by CVE-2019-11358, CVE-2020-11023, and CVE-2020-11022. | The software is affected for reported vulnerabilities, an attacker can research about the vulnerabilities that affect the specific software version and try to exploit. While some vulnerabilities lead to only minor impact some of the largest breaches have relied on exploiting known vulnerabilities. | Install the security fix or update to the version release that solves this vulnerability. Evaluate to update to the latest released version of jQuery. |
| **CONTENT-SECURITY-POLICY HEADER NOT SET (CORE)** | Content-Security-Policy Header found Not Set by application. It was identified that the header Content-Security-Policy is missing in the response of the web application. | Server response may be altered by man-in-the-middle attack. | Set Content-Security-Policy Header. |
| **USER ENUMERATION (API)** | The API advises whether a user identification is correct. This gives an attacker the ability to determine whether a user is valid or not. In the response it’s possible to see the message: "The client with CPF/CNPJ=... was not found.". | Populating a list of valid usernames gives an attacker an increased probability of obtaining unauthorised access. It could also be used to launch an attack that locks out all users (known as a Denial-of-Service attack). | Amend the message given to the user when their authentication credentials are incorrect. This should not advise which of the credentials are incorrect. |
| **LACK OF ERROR HANDLING (API)** | It was found that user input is not handled/validated at server side which leads to exception/error. Application leaks technical information upon exception. The API displays an error 500 with system information regarding the system. | An attacker may force an error and get a useful insight to the underlying technology used. This information could be used to formulate a targeted attack. | A good error handling mechanism always tries to capture all exceptions and returns a generic error message that does not reveal any details. Set a generic custom error page for all unhandled exceptions at the container level. |
| **MISCONFIGURED CORS POLICY HEADER (API)** | The Cross-origin resource sharing (CORS) header is not properly set. The web application is configured to allow cross-origin requests from any origin (Access-Control-Allow-Origin: *). | This configuration may expose the application to Cross-Origin attacks, such as unauthorized API interactions from malicious websites. Attackers may perform unauthorized state-changing actions and / or steal user tokens. | Set the Access-Control-Allow-Origin properly to only accept request from the authorized domains. |
| **CONTENT SECURITY POLICY NOT ENFORCED (API)** | Testing revealed that the API did not enforce a Content Security Policy. It was identified that the header Content-Security-Policy is missing in the response of APIs. | This could potentially allow an attacker to insert malicious executable content into the application’s responses. | Providing frame-ancestors 'none' prevents any domain from framing the response returned by the API call. This header protects against drag-and-drop style clickjacking attacks. |
| **IMPROPER CACHE CONTROL HEADER IS USED (API)** | The settings used to secure cache control headers are incorrectly configured. The Cache control header does not contain all the directives Pragma: no-cache Cache-Control: no-store, no-cache, must-revalidate. | This can result in sensitive information being stored locally on the computer. An attacker can use the information stored in these to gain an insight into the workings of the application or to obtain sensitive information. | The mechanism must be configured correctly, as follows: Pragma: no-cache, Cache-Control: no-store, no-cache must-revalidate. |
| **PLATFORM INFORMATION DISCLOSURE (API)** | The APIs exposes platform and technology details through HTTP response headers when certain requests are made. These headers expose: WWW-Authenticate: org.glassfish.jersey.message.internal.OutboundJaxrsResponse. | Information such as system information may be used by an attacker to launch an attack to gain further insight or access into the application. | Suppress unnecessary response headers that disclose technology information. Remove all superfluous information from client-side files, specifically code comments, logic explanations, and system names. |
| **SERVICE WITH KNOWN VULNERABILITY (INFRA-OpenSSH 5.3)** | According to the version of the service SSH identified on the banner: OpenSSH 5.3 (Port 22). This version has known vulnerabilities. NIST identifies multiple vulnerabilities like CVE-2023-38408 and CVE-2023-51767. | If a service is found to contain security vulnerabilities could introduce potential weakness that can lead to compromise of the server. | If possible, upgrade to the latest version. Verify that all services are up to date and continuously monitor CVE and NVD for component vulnerabilities. |
| **PLATFORM INFORMATION DISCLOSURE (robots.txt)** | The web server contains a robots.txt file, however the file is empty. The file robots.txt is used to give instructions to web robots about locations within the web site. | The presence of the robots.txt does not in itself present any kind of security vulnerability. However, it is often used to identify restricted or private areas of a site's contents. | The robots.txt file is not itself a security threat. Do not rely on robots.txt to provide any kind of protection over unauthorized access. Assume that attackers will pay close attention to any locations identified in the file. |
